index,date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1645,2011-03-14,spring,0,3,1,0,1,1,1,0.26,0.2879,0.65,0.0896,1
1646,2011-03-14,spring,0,3,2,0,1,1,1,0.26,0.2879,0.65,0.0896,1
1693,2011-03-16,spring,0,3,4,0,3,1,2,0.3,0.303,0.93,0.1642,1
1811,2011-03-21,summer,0,3,3,0,1,1,2,0.34,0.303,0.71,0.3284,1
1833,2011-03-22,summer,0,3,2,0,2,1,1,0.44,0.4394,0.94,0.0896,1
1835,2011-03-22,summer,0,3,4,0,2,1,2,0.42,0.4242,0.82,0.1642,1
1881,2011-03-24,summer,0,3,3,0,4,1,2,0.28,0.2727,1.0,0.194,1
1882,2011-03-24,summer,0,3,4,0,4,1,2,0.28,0.2727,1.0,0.194,1
2024,2011-03-30,summer,0,3,4,0,3,1,2,0.32,0.3485,0.57,0.0,1
2047,2011-03-31,summer,0,3,3,0,4,1,3,0.24,0.2273,0.93,0.2239,1
2143,2011-04-04,summer,0,4,3,0,1,1,1,0.38,0.3939,0.66,0.2836,1
2192,2011-04-06,summer,0,4,4,0,3,1,1,0.24,0.2424,0.65,0.1343,1
2216,2011-04-07,summer,0,4,4,0,4,1,1,0.34,0.3333,0.76,0.194,1
2239,2011-04-08,summer,0,4,3,0,5,1,3,0.34,0.3333,0.76,0.1642,1
2240,2011-04-08,summer,0,4,4,0,5,1,2,0.34,0.3333,0.86,0.1343,1
2311,2011-04-11,summer,0,4,4,0,1,1,1,0.46,0.4545,0.94,0.194,1
2334,2011-04-12,summer,0,4,3,0,2,1,2,0.58,0.5455,0.56,0.1343,1
2356,2011-04-13,summer,0,4,1,0,3,1,2,0.4,0.4091,1.0,0.2985,1
2540,2011-04-20,summer,0,4,17,0,3,1,2,0.74,0.6515,0.37,0.4179,432
2564,2011-04-21,summer,0,4,17,0,4,1,1,0.5,0.4848,0.29,0.1642,481
2660,2011-04-25,summer,0,4,17,0,1,1,1,0.7,0.6515,0.54,0.2985,521
2661,2011-04-25,summer,0,4,18,0,1,1,1,0.68,0.6364,0.57,0.3582,499
2684,2011-04-26,summer,0,4,17,0,2,1,1,0.68,0.6364,0.61,0.3582,521
2685,2011-04-26,summer,0,4,18,0,2,1,1,0.68,0.6364,0.65,0.4478,528
2708,2011-04-27,summer,0,4,17,0,3,1,3,0.66,0.6061,0.83,0.3881,521
2733,2011-04-28,summer,0,4,18,0,4,1,1,0.64,0.6212,0.47,0.3582,530
2756,2011-04-29,summer,0,4,17,0,5,1,2,0.52,0.5,0.45,0.3881,508
2757,2011-04-29,summer,0,4,18,0,5,1,1,0.52,0.5,0.48,0.3582,439
2778,2011-04-30,summer,0,4,15,0,6,0,1,0.56,0.5303,0.37,0.1343,499
2828,2011-05-02,summer,0,5,17,0,1,1,1,0.66,0.6212,0.65,0.194,537
2829,2011-05-02,summer,0,5,18,0,1,1,2,0.64,0.6061,0.65,0.194,518
2852,2011-05-03,summer,0,5,17,0,2,1,1,0.7,0.6515,0.54,0.4627,517
2853,2011-05-03,summer,0,5,18,0,2,1,1,0.7,0.6515,0.48,0.4179,544
2862,2011-05-04,summer,0,5,3,0,3,1,3,0.42,0.4242,0.88,0.5224,1
2900,2011-05-05,summer,0,5,17,0,4,1,1,0.56,0.5303,0.26,0.3881,533
2901,2011-05-05,summer,0,5,18,0,4,1,1,0.56,0.5303,0.26,0.2836,520
2911,2011-05-06,summer,0,5,4,0,5,1,1,0.36,0.3636,0.71,0.1045,1
2924,2011-05-06,summer,0,5,17,0,5,1,1,0.58,0.5455,0.4,0.3582,553
2944,2011-05-07,summer,0,5,13,0,6,0,1,0.6,0.6212,0.35,0.2836,436
2996,2011-05-09,summer,0,5,17,0,1,1,1,0.62,0.6212,0.38,0.2537,598
2997,2011-05-09,summer,0,5,18,0,1,1,1,0.62,0.6212,0.38,0.2985,524
3020,2011-05-10,summer,0,5,17,0,2,1,1,0.64,0.6212,0.33,0.0,611
3021,2011-05-10,summer,0,5,18,0,2,1,1,0.64,0.6212,0.29,0.1343,550
3022,2011-05-10,summer,0,5,19,0,2,1,1,0.6,0.6212,0.43,0.2239,434
3068,2011-05-12,summer,0,5,17,0,4,1,2,0.64,0.6212,0.57,0.194,594
3069,2011-05-12,summer,0,5,18,0,4,1,1,0.62,0.6061,0.69,0.2239,527
3092,2011-05-13,summer,0,5,17,0,5,1,3,0.52,0.5,0.88,0.1642,491
3137,2011-05-15,summer,0,5,14,0,0,0,1,0.64,0.6061,0.73,0.194,437
3188,2011-05-17,summer,0,5,17,0,2,1,1,0.62,0.6061,0.65,0.4179,604
3189,2011-05-17,summer,0,5,18,0,2,1,1,0.6,0.5909,0.69,0.2985,480
3212,2011-05-18,summer,0,5,17,0,3,1,1,0.6,0.5909,0.69,0.1343,565
3213,2011-05-18,summer,0,5,18,0,3,1,1,0.6,0.5909,0.73,0.2239,489
3227,2011-05-19,summer,0,5,8,0,4,1,2,0.52,0.5,0.88,0.0,487
3236,2011-05-19,summer,0,5,17,0,4,1,1,0.56,0.5303,0.78,0.1642,547
3237,2011-05-19,summer,0,5,18,0,4,1,1,0.6,0.6212,0.55,0.1642,513
3251,2011-05-20,summer,0,5,8,0,5,1,1,0.54,0.5152,0.68,0.0,517
3260,2011-05-20,summer,0,5,17,0,5,1,1,0.62,0.6212,0.53,0.0,554
3279,2011-05-21,summer,0,5,12,0,6,0,1,0.66,0.6212,0.5,0.0,493
3282,2011-05-21,summer,0,5,15,0,6,0,1,0.72,0.6515,0.45,0.2537,506
3347,2011-05-24,summer,0,5,8,0,2,1,3,0.62,0.5758,0.83,0.2239,434
3356,2011-05-24,summer,0,5,17,0,2,1,1,0.7,0.6515,0.61,0.1045,548
3357,2011-05-24,summer,0,5,18,0,2,1,1,0.7,0.6515,0.7,0.194,564
3371,2011-05-25,summer,0,5,8,0,3,1,1,0.64,0.6061,0.69,0.2239,531
3380,2011-05-25,summer,0,5,17,0,3,1,1,0.74,0.6667,0.51,0.2239,601
3381,2011-05-25,summer,0,5,18,0,3,1,1,0.72,0.6667,0.58,0.2239,517
3395,2011-05-26,summer,0,5,8,0,4,1,2,0.66,0.6061,0.83,0.1642,489
3404,2011-05-26,summer,0,5,17,0,4,1,1,0.8,0.7273,0.46,0.2836,494
3428,2011-05-27,summer,0,5,17,0,5,1,1,0.74,0.6818,0.58,0.3881,491
3524,2011-05-31,summer,0,5,17,0,2,1,1,0.84,0.803,0.53,0.2239,495
3548,2011-06-01,summer,0,6,17,0,3,1,1,0.86,0.803,0.47,0.2985,486
3572,2011-06-02,summer,0,6,17,0,4,1,1,0.76,0.6515,0.2,0.5224,572
3573,2011-06-02,summer,0,6,18,0,4,1,1,0.74,0.6515,0.22,0.3881,525
3587,2011-06-03,summer,0,6,8,0,5,1,2,0.56,0.5303,0.43,0.3284,502
3596,2011-06-03,summer,0,6,17,0,5,1,1,0.72,0.6364,0.25,0.2836,558
3597,2011-06-03,summer,0,6,18,0,5,1,1,0.7,0.6364,0.24,0.2985,564
3659,2011-06-06,summer,0,6,8,0,1,1,1,0.64,0.6061,0.73,0.0896,438
3668,2011-06-06,summer,0,6,17,0,1,1,1,0.78,0.6818,0.33,0.2836,579
3669,2011-06-06,summer,0,6,18,0,1,1,1,0.76,0.6667,0.31,0.1343,556
3692,2011-06-07,summer,0,6,17,0,2,1,1,0.8,0.7273,0.43,0.2537,539
3693,2011-06-07,summer,0,6,18,0,2,1,1,0.78,0.697,0.46,0.2836,551
3707,2011-06-08,summer,0,6,8,0,3,1,1,0.76,0.7121,0.58,0.1642,481
3716,2011-06-08,summer,0,6,17,0,3,1,1,0.92,0.8485,0.35,0.2239,506
3731,2011-06-09,summer,0,6,8,0,4,1,2,0.76,0.7273,0.7,0.1045,432
3764,2011-06-10,summer,0,6,17,0,5,1,1,0.82,0.7727,0.52,0.2239,517
3836,2011-06-13,summer,0,6,17,0,1,1,1,0.7,0.6364,0.39,0.3284,601
3837,2011-06-13,summer,0,6,18,0,1,1,1,0.7,0.6364,0.37,0.3582,586
3851,2011-06-14,summer,0,6,8,0,2,1,1,0.58,0.5455,0.49,0.3881,486
3860,2011-06-14,summer,0,6,17,0,2,1,3,0.64,0.6212,0.5,0.2836,569
3861,2011-06-14,summer,0,6,18,0,2,1,1,0.62,0.6212,0.51,0.3284,538
3870,2011-06-15,summer,0,6,3,0,3,1,1,0.5,0.4848,0.68,0.2537,1
3875,2011-06-15,summer,0,6,8,0,3,1,1,0.58,0.5455,0.53,0.1343,498
3884,2011-06-15,summer,0,6,17,0,3,1,1,0.74,0.6515,0.28,0.1045,638
3885,2011-06-15,summer,0,6,18,0,3,1,1,0.72,0.6515,0.32,0.1343,607
3932,2011-06-17,summer,0,6,17,0,5,1,3,0.76,0.6818,0.4,0.194,552
3990,2011-06-20,summer,0,6,3,0,1,1,3,0.64,0.5758,0.89,0.0,1
4004,2011-06-20,summer,0,6,17,0,1,1,1,0.7,0.6515,0.54,0.0,565
4005,2011-06-20,summer,0,6,18,0,1,1,1,0.7,0.6515,0.61,0.2537,538
4006,2011-06-20,summer,0,6,19,0,1,1,1,0.66,0.6212,0.65,0.2239,431
4028,2011-06-21,autumn,0,6,17,0,2,1,1,0.78,0.7576,0.66,0.2239,572
4029,2011-06-21,autumn,0,6,18,0,2,1,2,0.76,0.7273,0.7,0.2537,536
4052,2011-06-22,autumn,0,6,17,0,3,1,2,0.8,0.7576,0.55,0.3881,529
4053,2011-06-22,autumn,0,6,18,0,3,1,2,0.8,0.7727,0.59,0.2537,513
4067,2011-06-23,autumn,0,6,8,0,4,1,2,0.74,0.697,0.7,0.194,432
4076,2011-06-23,autumn,0,6,17,0,4,1,2,0.72,0.6818,0.7,0.3582,569
4077,2011-06-23,autumn,0,6,18,0,4,1,1,0.72,0.6818,0.7,0.4179,540
4100,2011-06-24,autumn,0,6,17,0,5,1,1,0.76,0.6667,0.37,0.2537,557
4172,2011-06-27,autumn,0,6,17,0,1,1,1,0.74,0.6818,0.55,0.1343,604
4173,2011-06-27,autumn,0,6,18,0,1,1,1,0.74,0.6667,0.51,0.0,591
4196,2011-06-28,autumn,0,6,17,0,2,1,3,0.82,0.7879,0.56,0.2836,579
4197,2011-06-28,autumn,0,6,18,0,2,1,3,0.8,0.7576,0.55,0.2985,504
4211,2011-06-29,autumn,0,6,8,0,3,1,1,0.7,0.6515,0.48,0.2836,540
4220,2011-06-29,autumn,0,6,17,0,3,1,1,0.82,0.7121,0.26,0.4179,570
4221,2011-06-29,autumn,0,6,18,0,3,1,1,0.8,0.697,0.29,0.2985,588
4235,2011-06-30,autumn,0,6,8,0,4,1,1,0.68,0.6364,0.47,0.2239,555
4244,2011-06-30,autumn,0,6,17,0,4,1,1,0.78,0.6818,0.27,0.3582,594
4245,2011-06-30,autumn,0,6,18,0,4,1,1,0.76,0.6667,0.29,0.2537,586
4259,2011-07-01,autumn,0,7,8,0,5,1,1,0.7,0.6364,0.42,0.1642,492
4304,2011-07-03,autumn,0,7,5,0,0,0,3,0.62,0.5758,0.83,0.194,1
4340,2011-07-04,autumn,0,7,17,1,1,0,1,0.8,0.7273,0.46,0.0,436
4355,2011-07-05,autumn,0,7,8,0,2,1,1,0.72,0.6818,0.62,0.1343,432
4364,2011-07-05,autumn,0,7,17,0,2,1,1,0.82,0.7576,0.46,0.1045,545
4365,2011-07-05,autumn,0,7,18,0,2,1,1,0.8,0.7576,0.55,0.1642,496
4388,2011-07-06,autumn,0,7,17,0,3,1,1,0.78,0.7424,0.59,0.2239,596
4389,2011-07-06,autumn,0,7,18,0,3,1,1,0.76,0.7121,0.62,0.194,563
4412,2011-07-07,autumn,0,7,17,0,4,1,1,0.86,0.7576,0.36,0.2537,569
4413,2011-07-07,autumn,0,7,18,0,4,1,1,0.84,0.7576,0.44,0.2985,562
4508,2011-07-11,autumn,0,7,17,0,1,1,1,0.86,0.8485,0.56,0.4179,514
4533,2011-07-12,autumn,0,7,18,0,2,1,1,0.86,0.803,0.47,0.2985,511
4556,2011-07-13,autumn,0,7,17,0,3,1,1,0.7,0.6667,0.79,0.0,488
4571,2011-07-14,autumn,0,7,8,0,4,1,1,0.64,0.6212,0.5,0.3582,486
4580,2011-07-14,autumn,0,7,17,0,4,1,1,0.74,0.6515,0.37,0.1343,595
4581,2011-07-14,autumn,0,7,18,0,4,1,1,0.72,0.6515,0.42,0.194,578
4595,2011-07-15,autumn,0,7,8,0,5,1,1,0.64,0.6061,0.65,0.2537,564
4604,2011-07-15,autumn,0,7,17,0,5,1,1,0.74,0.6667,0.42,0.2537,587
4605,2011-07-15,autumn,0,7,18,0,5,1,1,0.72,0.6515,0.45,0.2239,496
4624,2011-07-16,autumn,0,7,13,0,6,0,1,0.76,0.6818,0.45,0.2985,497
4625,2011-07-16,autumn,0,7,14,0,6,0,1,0.74,0.6667,0.45,0.2985,433
4649,2011-07-17,autumn,0,7,14,0,0,0,1,0.8,0.7424,0.49,0.3582,430
4676,2011-07-18,autumn,0,7,17,0,1,1,1,0.84,0.7879,0.49,0.3284,545
4677,2011-07-18,autumn,0,7,18,0,1,1,1,0.82,0.7727,0.49,0.3582,558
4700,2011-07-19,autumn,0,7,17,0,2,1,1,0.8,0.803,0.66,0.0,513
4701,2011-07-19,autumn,0,7,18,0,2,1,1,0.8,0.803,0.66,0.1343,530
4715,2011-07-20,autumn,0,7,8,0,3,1,1,0.74,0.7121,0.74,0.0,438
4725,2011-07-20,autumn,0,7,18,0,3,1,1,0.84,0.8333,0.59,0.2239,497
4844,2011-07-25,autumn,0,7,17,0,1,1,1,0.72,0.697,0.74,0.0,485
4845,2011-07-25,autumn,0,7,18,0,1,1,1,0.74,0.7121,0.74,0.0896,533
4868,2011-07-26,autumn,0,7,17,0,2,1,1,0.86,0.7576,0.36,0.3582,537
4869,2011-07-26,autumn,0,7,18,0,2,1,1,0.84,0.7424,0.39,0.3881,546
4883,2011-07-27,autumn,0,7,8,0,3,1,1,0.74,0.6667,0.42,0.2537,433
4892,2011-07-27,autumn,0,7,17,0,3,1,1,0.84,0.7121,0.26,0.2239,572
4893,2011-07-27,autumn,0,7,18,0,3,1,1,0.82,0.7121,0.28,0.1045,541
4917,2011-07-28,autumn,0,7,18,0,4,1,1,0.84,0.8182,0.56,0.2239,483
5012,2011-08-01,autumn,0,8,17,0,1,1,1,0.76,0.6818,0.45,0.2985,514
5013,2011-08-01,autumn,0,8,18,0,1,1,1,0.78,0.697,0.43,0.194,543
5027,2011-08-02,autumn,0,8,8,0,2,1,1,0.74,0.6818,0.58,0.2836,435
5036,2011-08-02,autumn,0,8,17,0,2,1,2,0.9,0.7879,0.27,0.1343,556
5037,2011-08-02,autumn,0,8,18,0,2,1,2,0.86,0.7576,0.34,0.194,556
5051,2011-08-03,autumn,0,8,8,0,3,1,2,0.74,0.6667,0.51,0.1642,437
5061,2011-08-03,autumn,0,8,18,0,3,1,3,0.7,0.6667,0.84,0.0,492
5084,2011-08-04,autumn,0,8,17,0,4,1,1,0.76,0.7121,0.62,0.3284,555
5085,2011-08-04,autumn,0,8,18,0,4,1,1,0.7,0.6667,0.74,0.2985,523
5108,2011-08-05,autumn,0,8,17,0,5,1,1,0.78,0.7121,0.49,0.2985,550
5166,2011-08-08,autumn,0,8,3,0,1,1,1,0.66,0.5909,0.89,0.0,1
5180,2011-08-08,autumn,0,8,17,0,1,1,1,0.86,0.7727,0.39,0.1642,527
5181,2011-08-08,autumn,0,8,18,0,1,1,1,0.84,0.7576,0.41,0.1343,529
5204,2011-08-09,autumn,0,8,17,0,2,1,1,0.8,0.7576,0.55,0.1642,532
5205,2011-08-09,autumn,0,8,18,0,2,1,1,0.8,0.7576,0.55,0.194,585
5228,2011-08-10,autumn,0,8,17,0,3,1,1,0.84,0.7121,0.26,0.2985,584
5229,2011-08-10,autumn,0,8,18,0,3,1,1,0.82,0.7121,0.28,0.2985,559
5252,2011-08-11,autumn,0,8,17,0,4,1,1,0.8,0.697,0.29,0.2537,582
5253,2011-08-11,autumn,0,8,18,0,4,1,1,0.78,0.6818,0.29,0.0896,571
5276,2011-08-12,autumn,0,8,17,0,5,1,1,0.82,0.7121,0.26,0.0,516
5348,2011-08-15,autumn,0,8,17,0,1,1,1,0.74,0.6667,0.51,0.2836,530
5349,2011-08-15,autumn,0,8,18,0,1,1,1,0.7,0.6515,0.65,0.194,483
5372,2011-08-16,autumn,0,8,17,0,2,1,1,0.76,0.6818,0.45,0.3284,600
5373,2011-08-16,autumn,0,8,18,0,2,1,1,0.76,0.6818,0.45,0.2239,570
5387,2011-08-17,autumn,0,8,8,0,3,1,1,0.7,0.6515,0.54,0.1642,487
5396,2011-08-17,autumn,0,8,17,0,3,1,1,0.8,0.7424,0.49,0.2239,552
5397,2011-08-17,autumn,0,8,18,0,3,1,1,0.76,0.697,0.55,0.2537,556
5444,2011-08-19,autumn,0,8,17,0,5,1,1,0.76,0.7121,0.58,0.5224,527
5516,2011-08-22,autumn,0,8,17,0,1,1,1,0.74,0.6515,0.27,0.3284,591
5517,2011-08-22,autumn,0,8,18,0,1,1,1,0.72,0.6515,0.28,0.2985,609
5531,2011-08-23,autumn,0,8,8,0,2,1,2,0.62,0.6212,0.5,0.0,504
5537,2011-08-23,autumn,0,8,14,0,2,1,1,0.72,0.6515,0.3,0.0896,651
5538,2011-08-23,autumn,0,8,15,0,2,1,1,0.72,0.6515,0.34,0.2239,601
5541,2011-08-23,autumn,0,8,18,0,2,1,1,0.72,0.6515,0.34,0.194,519
5550,2011-08-24,autumn,0,8,3,0,3,1,1,0.58,0.5455,0.68,0.1343,1
5564,2011-08-24,autumn,0,8,17,0,3,1,1,0.76,0.697,0.52,0.3582,567
5565,2011-08-24,autumn,0,8,18,0,3,1,1,0.74,0.6818,0.55,0.2985,621
5579,2011-08-25,autumn,0,8,8,0,4,1,2,0.7,0.6667,0.74,0.2985,484
5612,2011-08-26,autumn,0,8,17,0,5,1,1,0.74,0.7121,0.74,0.2537,489
5637,2011-08-28,autumn,0,8,7,0,0,0,3,0.62,0.5758,0.83,0.3582,1
5643,2011-08-28,autumn,0,8,13,0,0,0,1,0.76,0.6818,0.45,0.3582,431
5646,2011-08-28,autumn,0,8,16,0,0,0,1,0.8,0.7121,0.36,0.3881,491
5671,2011-08-29,autumn,0,8,17,0,1,1,2,0.7,0.6364,0.47,0.2239,591
5672,2011-08-29,autumn,0,8,18,0,1,1,1,0.66,0.6212,0.47,0.2537,547
5686,2011-08-30,autumn,0,8,8,0,2,1,1,0.62,0.6212,0.57,0.1343,493
5695,2011-08-30,autumn,0,8,17,0,2,1,1,0.72,0.6515,0.42,0.194,611
5696,2011-08-30,autumn,0,8,18,0,2,1,1,0.7,0.6364,0.45,0.1642,576
5719,2011-08-31,autumn,0,8,17,0,3,1,1,0.72,0.6515,0.45,0.1343,608
5720,2011-08-31,autumn,0,8,18,0,3,1,1,0.7,0.6515,0.51,0.2239,565
5734,2011-09-01,autumn,0,9,8,0,4,1,1,0.62,0.5909,0.73,0.1343,498
5743,2011-09-01,autumn,0,9,17,0,4,1,1,0.72,0.6667,0.54,0.2537,628
5744,2011-09-01,autumn,0,9,18,0,4,1,1,0.72,0.6667,0.54,0.2239,531
5810,2011-09-04,autumn,0,9,12,0,0,0,1,0.76,0.7273,0.66,0.1642,435
5848,2011-09-06,autumn,0,9,3,0,2,1,3,0.54,0.5152,0.94,0.2985,1
5933,2011-09-09,autumn,0,9,17,0,5,1,1,0.7,0.6667,0.79,0.2537,505
5955,2011-09-10,autumn,0,9,15,0,6,0,1,0.74,0.6818,0.55,0.2239,480
5956,2011-09-10,autumn,0,9,16,0,6,0,1,0.74,0.6818,0.55,0.194,431
5980,2011-09-11,autumn,0,9,16,0,0,0,1,0.72,0.6667,0.51,0.2985,483
6004,2011-09-12,autumn,0,9,17,0,1,1,1,0.72,0.6667,0.51,0.1642,590
6005,2011-09-12,autumn,0,9,18,0,1,1,1,0.7,0.6515,0.54,0.194,571
6006,2011-09-12,autumn,0,9,19,0,1,1,1,0.68,0.6364,0.57,0.1343,436
6028,2011-09-13,autumn,0,9,17,0,2,1,1,0.74,0.6667,0.51,0.2239,579
6029,2011-09-13,autumn,0,9,18,0,2,1,1,0.7,0.6515,0.61,0.1642,539
6052,2011-09-14,autumn,0,9,17,0,3,1,1,0.76,0.697,0.52,0.2836,599
6053,2011-09-14,autumn,0,9,18,0,3,1,1,0.72,0.6818,0.62,0.1642,586
6100,2011-09-16,autumn,0,9,17,0,5,1,2,0.52,0.5,0.48,0.1343,566
6101,2011-09-16,autumn,0,9,18,0,5,1,2,0.52,0.5,0.52,0.1642,482
6135,2011-09-18,autumn,0,9,4,0,0,0,1,0.44,0.4394,0.77,0.2239,1
6172,2011-09-19,autumn,0,9,17,0,1,1,2,0.58,0.5455,0.64,0.1343,568
6173,2011-09-19,autumn,0,9,18,0,1,1,2,0.56,0.5303,0.68,0.1343,540
6196,2011-09-20,autumn,0,9,17,0,2,1,1,0.6,0.5606,0.83,0.1045,511
6197,2011-09-20,autumn,0,9,18,0,2,1,1,0.6,0.5606,0.83,0.1045,492
6220,2011-09-21,autumn,0,9,17,0,3,1,3,0.66,0.6212,0.74,0.1642,536
6244,2011-09-22,autumn,0,9,17,0,4,1,2,0.66,0.6061,0.78,0.0896,563
6245,2011-09-22,autumn,0,9,18,0,4,1,2,0.64,0.5758,0.83,0.1045,551
6340,2011-09-26,winter,0,9,17,0,1,1,1,0.7,0.6515,0.7,0.1343,570
